code	label	tree
M6237	M6237 (Syndrome d'immobilité (paraplégique)   Cheville et pied)	ICD10FR (code CIM10)-Chap13 (MALADIES SYST OSTEO ART MUSCLES ET TISSU CONJONCTIF)-M62 (ATTEINTES MUSC., NCA)-M6237 (Syndrome d'immobilité (paraplégique)   Cheville et pied)
Z882	Z882 (Antécédents personnels d'allergie aux sulfamides)	ICD10FR (code CIM10)-Chap21 (FACTEURS INFLUANT L'ETAT DE SANTE)-Z88 (Atcd. PERS. D'ALLERGIE A DES MEDICAM. ET DES SUBST. BIOL.)-Z882 (Antécédents personnels d'allergie aux sulfamides)
Q916	Q916 (Trisomie 13, translocation)	ICD10FR (code CIM10)-Chap17 (ANOMALIES CONGENITALES)-Q91 (SYND. D'EDWARDS ET SYND. DE PATAU)-Q916 (Trisomie 13, translocation)
S689	S689 (Amputation traumatique du poignet et de la main, niveau non précisé)	ICD10FR (code CIM10)-Chap19 (LESIONS TRAUMATIQUES ET EMPOISONNEMENTS)-S68 (AMPUT. TRAUMA. POIGNET, MAIN)-S689 (Amputation traumatique du poignet et de la main, niveau non précisé)
C38	C38 (T.M. DU COEUR, DU MEDIASTIN ET DE LA PLEVRE)	ICD10FR (code CIM10)-Chap2 (TUMEURS)-C38 (T.M. DU COEUR, DU MEDIASTIN ET DE LA PLEVRE)
C957	C957 (Autres leucémies à cellules non précisées)	ICD10FR (code CIM10)-Chap2 (TUMEURS)-C95 (LEUCEMIE A CELL. SAI)-C957 (Autres leucémies à cellules non précisées)
M4315	M4315 (Spondylolisthésis   Région dorso lombaire)	ICD10FR (code CIM10)-Chap13 (MALADIES SYST OSTEO ART MUSCLES ET TISSU CONJONCTIF)-M43 (DORSOPATHIES AVEC DEFORM., NCA)-M4315 (Spondylolisthésis   Région dorso lombaire)
V185	V185 (( CIM10 : V18.5 ))	ICD10FR (code CIM10)-Chap20 (CAUSES EXTERNES DE MORBIDITE ET DE MORTALITE)-V18 (V18)-V185 (( CIM10 : V18.5 ))
V547	V547 (( CIM10 : V54.7 ))	ICD10FR (code CIM10)-Chap20 (CAUSES EXTERNES DE MORBIDITE ET DE MORTALITE)-V54 (V54)-V547 (( CIM10 : V54.7 ))
T753	T753 (Mal des transports)	ICD10FR (code CIM10)-Chap19 (LESIONS TRAUMATIQUES ET EMPOISONNEMENTS)-T75 (EFFETS D'AUTRES CAUSES EXT.)-T753 (Mal des transports)
S930	S930 (Luxation de la cheville)	ICD10FR (code CIM10)-Chap19 (LESIONS TRAUMATIQUES ET EMPOISONNEMENTS)-S93 (LUX., ENTORSE DES ARTIC. ET DES LIG. NIV. CHEVILLE, PIED)-S930 (Luxation de la cheville)
M0763	M0763 (Autres arthropathies entéropathiques   Articulation du poignet)	ICD10FR (code CIM10)-Chap13 (MALADIES SYST OSTEO ART MUSCLES ET TISSU CONJONCTIF)-M07 (ARTHROPATHIES PSORIASIQUES ET ENTEROPATHIQUES)-M0763 (Autres arthropathies entéropathiques   Articulation du poignet)
M6296	M6296 (Atteinte musculaire, sans précision   Jambe)	ICD10FR (code CIM10)-Chap13 (MALADIES SYST OSTEO ART MUSCLES ET TISSU CONJONCTIF)-M62 (ATTEINTES MUSC., NCA)-M6296 (Atteinte musculaire, sans précision   Jambe)
P546	P546 (Hémorragie vaginale néonatale)	ICD10FR (code CIM10)-Chap16 (AFFECTION ORIGINE PERINATALE)-P54 (HEMORR. NEONAT., NCA)-P546 (Hémorragie vaginale néonatale)
T033	T033 (Luxations, entorses et foulures de plusieurs parties de(s) membre(s) inférieur(s))	ICD10FR (code CIM10)-Chap19 (LESIONS TRAUMATIQUES ET EMPOISONNEMENTS)-T03 (LUX., ENTORSES DE PLUS. PARTIES DU CORPS)-T033 (Luxations, entorses et foulures de plusieurs parties de(s) membre(s) inférieur(s))
T855	T855 (Complication mécanique de prothèses, implants et greffes gastro intestinaux)	ICD10FR (code CIM10)-Chap19 (LESIONS TRAUMATIQUES ET EMPOISONNEMENTS)-T85 (COMPLIC. D'AUTRES PROTH., IMPL., GREF. INT.)-T855 (Complication mécanique de prothèses, implants et greffes gastro intestinaux)
M9019	M9019 (Périostite au cours d'autres maladies infectieuses classées ailleurs   Siège non précisé)	ICD10FR (code CIM10)-Chap13 (MALADIES SYST OSTEO ART MUSCLES ET TISSU CONJONCTIF)-M90 (OSTEOPATHIE AVEC MAL. CL. AILL.)-M9019 (Périostite au cours d'autres maladies infectieuses classées ailleurs   Siège non précisé)
O680	O680 (Travail et accouchement compliqués d'une anomalie du rythme cardiaque du fotus)	ICD10FR (code CIM10)-Chap15 (COMPLICATIONS GROSSESSE ACCOUCHEMENT ET SUITES)-O68 (TRAVAIL ET ACCOUCH. COMPLIQ. D'UNE DETRESSE FOETALE)-O680 (Travail et accouchement compliqués d'une anomalie du rythme cardiaque du fotus)
T138	T138 (Autres lésions traumatiques précisées du membre inférieur, niveau non précisé)	ICD10FR (code CIM10)-Chap19 (LESIONS TRAUMATIQUES ET EMPOISONNEMENTS)-T13 (LES. TRAUMA. NCA DU Mb. INF., NIVEAU SAI)-T138 (Autres lésions traumatiques précisées du membre inférieur, niveau non précisé)
T261	T261 (Brûlure de la cornée et du sac conjonctival)	ICD10FR (code CIM10)-Chap19 (LESIONS TRAUMATIQUES ET EMPOISONNEMENTS)-T26 (BRULURE ET CORROSION LIMITEES A L'OEIL ET SES ANNEXES)-T261 (Brûlure de la cornée et du sac conjonctival)
V321	V321 (( CIM10 : V32.1 ))	ICD10FR (code CIM10)-Chap20 (CAUSES EXTERNES DE MORBIDITE ET DE MORTALITE)-V32 (V32)-V321 (( CIM10 : V32.1 ))
M8909	M8909 (Algoneurodystrophie   Siège non précisé)	ICD10FR (code CIM10)-Chap13 (MALADIES SYST OSTEO ART MUSCLES ET TISSU CONJONCTIF)-M89 (MAL. OSSEUSES, NCA)-M8909 (Algoneurodystrophie   Siège non précisé)
W319	W319 (( CIM10 : W31.9 ))	ICD10FR (code CIM10)-Chap20 (CAUSES EXTERNES DE MORBIDITE ET DE MORTALITE)-W31 (W31)-W319 (( CIM10 : W31.9 ))
J690	J690 (Pneumopathie due à des aliments et des vomissements)	ICD10FR (code CIM10)-Chap10 (MALADIES APPAREIL RESPIRATOIRE)-J69 (PNEUMOPATHIE DUE A DES SUBST. SOLIDES ET LIQUIDES)-J690 (Pneumopathie due à des aliments et des vomissements)
S3640	S3640 (Lésion traumatique de l'intestin grêle, sans plaie intra abdominale)	ICD10FR (code CIM10)-Chap19 (LESIONS TRAUMATIQUES ET EMPOISONNEMENTS)-S36 (LES. TRAUMA. D'ORG. INTRA ABDO.)-S3640 (Lésion traumatique de l'intestin grêle, sans plaie intra abdominale)
Q398	Q398 (Autres malformations congénitales de l'osophage)	ICD10FR (code CIM10)-Chap17 (ANOMALIES CONGENITALES)-Q39 (MALF. CONG. DE L'OESOPHAGE)-Q398 (Autres malformations congénitales de l'osophage)
C772	C772 (Tumeur maligne secondaire et non précisée des ganglions lymphatiques intra abdominaux)	ICD10FR (code CIM10)-Chap2 (TUMEURS)-C77 (T.M. DES Ggl. LYMPH., IIre. ET SAI)-C772 (Tumeur maligne secondaire et non précisée des ganglions lymphatiques intra abdominaux)
C436	C436 (Mélanome malin du membre supérieur, y compris l'épaule)	ICD10FR (code CIM10)-Chap2 (TUMEURS)-C43 (MELANOME MALIN DE LA PEAU)-C436 (Mélanome malin du membre supérieur, y compris l'épaule)
D001	D001 (Carcinome in situ de l'osophage)	ICD10FR (code CIM10)-Chap2 (TUMEURS)-D00 (CARC. IN SITU DE LA CAV. BUCC., DE L'OESOPHAGE ET DE L'ESTOM)-D001 (Carcinome in situ de l'osophage)
T223	T223 (Brûlure du troisième degré de l'épaule et du membre supérieur, sauf poignet et main)	ICD10FR (code CIM10)-Chap19 (LESIONS TRAUMATIQUES ET EMPOISONNEMENTS)-T22 (BRULURE ET CORROSION DE L'EPAULE ET DU Mb. SUP., Sf. POIGNET)-T223 (Brûlure du troisième degré de l'épaule et du membre supérieur, sauf poignet et main)
X274	X274 (( CIM10 : X27.4 ))	ICD10FR (code CIM10)-Chap20 (CAUSES EXTERNES DE MORBIDITE ET DE MORTALITE)-X27 (X27)-X274 (( CIM10 : X27.4 ))
M8331	M8331 (Ostéomalacie de l'adulte due à la malnutrition   Région scapulaire)	ICD10FR (code CIM10)-Chap13 (MALADIES SYST OSTEO ART MUSCLES ET TISSU CONJONCTIF)-M83 (OSTEOMALACIE DE L'ADULTE)-M8331 (Ostéomalacie de l'adulte due à la malnutrition   Région scapulaire)
W702	W702 (( CIM10 : W70.2 ))	ICD10FR (code CIM10)-Chap20 (CAUSES EXTERNES DE MORBIDITE ET DE MORTALITE)-W70 (W70)-W702 (( CIM10 : W70.2 ))
Q379	Q379 (Fente labiale avec fente palatine, sans précision, (unilatérale))	ICD10FR (code CIM10)-Chap17 (ANOMALIES CONGENITALES)-Q37 (FENTE LABIO PALATINE)-Q379 (Fente labiale avec fente palatine, sans précision, (unilatérale))
K510	K510 (Entéro colite ulcéreuse (chronique))	ICD10FR (code CIM10)-Chap11 (MALADIES APPAREIL DIGESTIF)-K51 (RECTO COLITE HEMORR.)-K510 (Entéro colite ulcéreuse (chronique))
L278	L278 (Dermite due à d'autres substances prises par voie interne)	ICD10FR (code CIM10)-Chap12 (MALADIES PEAU ET TISSU SS CUTANE)-L27 (DERMITE DUE A DES SUBST. PRISES PAR VOIE INT.)-L278 (Dermite due à d'autres substances prises par voie interne)
M0161	M0161 (Arthrite au cours de mycoses (B35 B49)   Articulations acromio claviculaire, scapulo humérale, et sterno claviculaire)	ICD10FR (code CIM10)-Chap13 (MALADIES SYST OSTEO ART MUSCLES ET TISSU CONJONCTIF)-M01 (ARTHRITES INFECT. DIRECTES AVEC MAL. INFECT. ET PARASIT. CL.)-M0161 (Arthrite au cours de mycoses (B35 B49)   Articulations acromio claviculaire, scapulo humérale, et sterno claviculaire)
E215	E215 (Maladie de la glande parathyroïde, sans précision)	ICD10FR (code CIM10)-Chap4 (MALADIES ENDOCRINES ,NUTRITION ,METABOLISME ET TR IMMUNITAIRE)-E21 (HYPERPARATHYROIDIE ET AUTRES MAL. DE LA Gld. PARATHYROIDE)-E215 (Maladie de la glande parathyroïde, sans précision)
M2528	M2528 (Hyperlaxité articulaire   Autres articulations)	ICD10FR (code CIM10)-Chap13 (MALADIES SYST OSTEO ART MUSCLES ET TISSU CONJONCTIF)-M25 (AFF. ARTIC., NCA)-M2528 (Hyperlaxité articulaire   Autres articulations)
G231	G231 (Ophtalmoplégie supranucléaire progressive [maladie de Steele Richardson Olszewski])	ICD10FR (code CIM10)-Chap6 (MALADIES DU SYSTEME NERVEUX)-G23 (MAL. DEGEN. DES NOYAUX GRIS CENTRAUX, NCA)-G231 (Ophtalmoplégie supranucléaire progressive [maladie de Steele Richardson Olszewski])
V808	V808 (( CIM10 : V80.8 ))	ICD10FR (code CIM10)-Chap20 (CAUSES EXTERNES DE MORBIDITE ET DE MORTALITE)-V80 (V80)-V808 (( CIM10 : V80.8 ))
L560	L560 (Réaction phototoxique à un médicament)	ICD10FR (code CIM10)-Chap12 (MALADIES PEAU ET TISSU SS CUTANE)-L56 (MODIF. AIG. DE LA PEAU DUES AUX RAYONS ULTRAVIOLETS, NCA)-L560 (Réaction phototoxique à un médicament)
M4913	M4913 (Spondylite au cours de brucellose (A23. )   Région cervico dorsale)	ICD10FR (code CIM10)-Chap13 (MALADIES SYST OSTEO ART MUSCLES ET TISSU CONJONCTIF)-M49 (SPONDYLOPATHIES AVEC MAL. CL. AILL.)-M4913 (Spondylite au cours de brucellose (A23. )   Région cervico dorsale)
K871	K871 (Atteinte du pancréas au cours de maladies classées ailleurs)	ICD10FR (code CIM10)-Chap11 (MALADIES APPAREIL DIGESTIF)-K87 (ATTEINTES VESIC. BIL., VOIES BIL. ET PANCREAS AVEC MAL. CL.)-K871 (Atteinte du pancréas au cours de maladies classées ailleurs)
P221	P221 (Tachypnée transitoire du nouveau né)	ICD10FR (code CIM10)-Chap16 (AFFECTION ORIGINE PERINATALE)-P22 (DETRESSE RESP. DU N.N.)-P221 (Tachypnée transitoire du nouveau né)
J662	J662 (Cannabinose)	ICD10FR (code CIM10)-Chap10 (MALADIES APPAREIL RESPIRATOIRE)-J66 (AFF. DES VOIES AERIENNES DUES A DES POUSSIERES ORG. PREC.)-J662 (Cannabinose)
W510	W510 (( CIM10 : W51.0 ))	ICD10FR (code CIM10)-Chap20 (CAUSES EXTERNES DE MORBIDITE ET DE MORTALITE)-W51 (W51)-W510 (( CIM10 : W51.0 ))
Y438	Y438 (( CIM10 : Y43.8 ))	ICD10FR (code CIM10)-Chap20 (CAUSES EXTERNES DE MORBIDITE ET DE MORTALITE)-Y43 (Y43)-Y438 (( CIM10 : Y43.8 ))
G98	G98 (AFF. DU SYST. NERV., NCA)	ICD10FR (code CIM10)-Chap6 (MALADIES DU SYSTEME NERVEUX)-G98 (AFF. DU SYST. NERV., NCA)
M8808	M8808 (Maladie de Paget du crâne   Autres localisations)	ICD10FR (code CIM10)-Chap13 (MALADIES SYST OSTEO ART MUSCLES ET TISSU CONJONCTIF)-M88 (MAL. OSSEUSE DE PAGET)-M8808 (Maladie de Paget du crâne   Autres localisations)
S009	S009 (Lésion traumatique superficielle de la tête, partie non précisée)	ICD10FR (code CIM10)-Chap19 (LESIONS TRAUMATIQUES ET EMPOISONNEMENTS)-S00 (LES. TRAUMA. SUPERF. DE LA TETE)-S009 (Lésion traumatique superficielle de la tête, partie non précisée)
N420	N420 (Calcul de la prostate)	ICD10FR (code CIM10)-Chap14 (MALADIES ORGANES GENITO URINAIRES)-N42 (AFF. DE LA PROSTATE, NCA)-N420 (Calcul de la prostate)
S270	S270 (Pneumothorax traumatique)	ICD10FR (code CIM10)-Chap19 (LESIONS TRAUMATIQUES ET EMPOISONNEMENTS)-S27 (LES. TRAUMA. D'ORG. INTRATHOR., NCA OU SAI)-S270 (Pneumothorax traumatique)
N429	N429 (Affection de la prostate, sans précision)	ICD10FR (code CIM10)-Chap14 (MALADIES ORGANES GENITO URINAIRES)-N42 (AFF. DE LA PROSTATE, NCA)-N429 (Affection de la prostate, sans précision)
Q81	Q81 (EPIDERMOLYSE BULLEUSE)	ICD10FR (code CIM10)-Chap17 (ANOMALIES CONGENITALES)-Q81 (EPIDERMOLYSE BULLEUSE)
T60	T60 (INTOX. PAR PESTICIDES)	ICD10FR (code CIM10)-Chap19 (LESIONS TRAUMATIQUES ET EMPOISONNEMENTS)-T60 (INTOX. PAR PESTICIDES)
M2452	M2452 (Raideur articulaire par contracture   Articulation du coude)	ICD10FR (code CIM10)-Chap13 (MALADIES SYST OSTEO ART MUSCLES ET TISSU CONJONCTIF)-M24 (LES. ARTIC. SPECIFIQUES, NCA)-M2452 (Raideur articulaire par contracture   Articulation du coude)
E71	E71 (ANOM. DU METAB. AC. AMINES A CHAINE RAMIFIEE ET METAB. DES A)	ICD10FR (code CIM10)-Chap4 (MALADIES ENDOCRINES ,NUTRITION ,METABOLISME ET TR IMMUNITAIRE)-E71 (ANOM. DU METAB. AC. AMINES A CHAINE RAMIFIEE ET METAB. DES A)
K805	K805 (Calcul des canaux biliaires (sans angiocholite ni cholécystite))	ICD10FR (code CIM10)-Chap11 (MALADIES APPAREIL DIGESTIF)-K80 (CHOLELITHIASE)-K805 (Calcul des canaux biliaires (sans angiocholite ni cholécystite))
W506	W506 (( CIM10 : W50.6 ))	ICD10FR (code CIM10)-Chap20 (CAUSES EXTERNES DE MORBIDITE ET DE MORTALITE)-W50 (W50)-W506 (( CIM10 : W50.6 ))
M7159	M7159 (Autres bursites, non classées ailleurs   Siège non précisé)	ICD10FR (code CIM10)-Chap13 (MALADIES SYST OSTEO ART MUSCLES ET TISSU CONJONCTIF)-M71 (BURSITES, NCA)-M7159 (Autres bursites, non classées ailleurs   Siège non précisé)
M5415	M5415 (Radiculopathie   Région dorso lombaire)	ICD10FR (code CIM10)-Chap13 (MALADIES SYST OSTEO ART MUSCLES ET TISSU CONJONCTIF)-M54 (DORSALGIES)-M5415 (Radiculopathie   Région dorso lombaire)
L502	L502 (Urticaire provoquée par le froid et la chaleur)	ICD10FR (code CIM10)-Chap12 (MALADIES PEAU ET TISSU SS CUTANE)-L50 (URTICAIRE)-L502 (Urticaire provoquée par le froid et la chaleur)
E786	E786 (Déficit en lipoprotéines)	ICD10FR (code CIM10)-Chap4 (MALADIES ENDOCRINES ,NUTRITION ,METABOLISME ET TR IMMUNITAIRE)-E78 (ANOM. DU METAB. DES LIPOPROTEINES ET AUTRES LIPIDEMIES)-E786 (Déficit en lipoprotéines)
M9993	M9993 (Lésion biomécanique, sans précision   Région lombaire/Lombo sacrée)	ICD10FR (code CIM10)-Chap13 (MALADIES SYST OSTEO ART MUSCLES ET TISSU CONJONCTIF)-M99 (LES. BIOMECANIQUES, NCA)-M9993 (Lésion biomécanique, sans précision   Région lombaire/Lombo sacrée)
K113	K113 (Abcès des glandes salivaires)	ICD10FR (code CIM10)-Chap11 (MALADIES APPAREIL DIGESTIF)-K11 (MAL. DES Gld. SALIVAIRES)-K113 (Abcès des glandes salivaires)
S8210	S8210 (Fracture fermée de l'extrémité supérieure du tibia)	ICD10FR (code CIM10)-Chap19 (LESIONS TRAUMATIQUES ET EMPOISONNEMENTS)-S82 (FRAC. DE LA JAMBE, Y COMPRIS LA CHEVILLE)-S8210 (Fracture fermée de l'extrémité supérieure du tibia)
X700	X700 (( CIM10 : X70.0 ))	ICD10FR (code CIM10)-Chap20 (CAUSES EXTERNES DE MORBIDITE ET DE MORTALITE)-X70 (X70)-X700 (( CIM10 : X70.0 ))
B232	B232 (Maladie par VIH à l'origine d'anomalies hématologiques et immunologiques, non classées ailleurs)	ICD10FR (code CIM10)-Chap1 (MALADIES INFECTIEUSES ET PARASITAIRES)-B23 (IMMUNODEFICIENCE HUMAINE VIRALE, A L'ORIGINE D'AUTRES MAL.)-B232 (Maladie par VIH à l'origine d'anomalies hématologiques et immunologiques, non classées ailleurs)
W13	W13 (W13)	ICD10FR (code CIM10)-Chap20 (CAUSES EXTERNES DE MORBIDITE ET DE MORTALITE)-W13 (W13)
X612	X612 (( CIM10 : X61.2 ))	ICD10FR (code CIM10)-Chap20 (CAUSES EXTERNES DE MORBIDITE ET DE MORTALITE)-X61 (X61)-X612 (( CIM10 : X61.2 ))
V752	V752 (( CIM10 : V75.2 ))	ICD10FR (code CIM10)-Chap20 (CAUSES EXTERNES DE MORBIDITE ET DE MORTALITE)-V75 (V75)-V752 (( CIM10 : V75.2 ))
W553	W553 (( CIM10 : W55.3 ))	ICD10FR (code CIM10)-Chap20 (CAUSES EXTERNES DE MORBIDITE ET DE MORTALITE)-W55 (W55)-W553 (( CIM10 : W55.3 ))
X573	X573 (( CIM10 : X57.3 ))	ICD10FR (code CIM10)-Chap20 (CAUSES EXTERNES DE MORBIDITE ET DE MORTALITE)-X57 (X57)-X573 (( CIM10 : X57.3 ))
X191	X191 (( CIM10 : X19.1 ))	ICD10FR (code CIM10)-Chap20 (CAUSES EXTERNES DE MORBIDITE ET DE MORTALITE)-X19 (X19)-X191 (( CIM10 : X19.1 ))
K411	K411 (Hernie crurale bilatérale, avec gangrène)	ICD10FR (code CIM10)-Chap11 (MALADIES APPAREIL DIGESTIF)-K41 (HERNIE CRURALE)-K411 (Hernie crurale bilatérale, avec gangrène)
C320	C320 (Tumeur maligne de la glotte)	ICD10FR (code CIM10)-Chap2 (TUMEURS)-C32 (T.M. DU LARYNX)-C320 (Tumeur maligne de la glotte)
F142	F142 (Troubles mentaux et du comportement liés à l'utilisation de cocaïne : syndrome de dépendance)	ICD10FR (code CIM10)-Chap5 (TROUBLES MENTAUX)-F14 (Tbl. MENT. DUS A COCAINE)-F142 (Troubles mentaux et du comportement liés à l'utilisation de cocaïne : syndrome de dépendance)
P130	P130 (Fracture du crâne due à un traumatisme obstétrical)	ICD10FR (code CIM10)-Chap16 (AFFECTION ORIGINE PERINATALE)-P13 (LES. DU SQUELETTE DUE A UN TRAUMA. OBST.)-P130 (Fracture du crâne due à un traumatisme obstétrical)
X699	X699 (( CIM10 : X69.9 ))	ICD10FR (code CIM10)-Chap20 (CAUSES EXTERNES DE MORBIDITE ET DE MORTALITE)-X69 (X69)-X699 (( CIM10 : X69.9 ))
M8023	M8023 (Ostéoporose d'inactivité avec fracture pathologique   Avant bras)	ICD10FR (code CIM10)-Chap13 (MALADIES SYST OSTEO ART MUSCLES ET TISSU CONJONCTIF)-M80 (OSTEOPOROSE AVEC FRAC. PATHO.)-M8023 (Ostéoporose d'inactivité avec fracture pathologique   Avant bras)
L812	L812 (Taches de rousseur)	ICD10FR (code CIM10)-Chap12 (MALADIES PEAU ET TISSU SS CUTANE)-L81 (ANOM. DE LA PIGMENTATION, NCA)-L812 (Taches de rousseur)
V090	V090 (Piéton blessé dans un accident en dehors de la circulation, impliquant des véhicules à moteur, autres et sans précision)	ICD10FR (code CIM10)-Chap20 (CAUSES EXTERNES DE MORBIDITE ET DE MORTALITE)-V09 (V09)-V090 (Piéton blessé dans un accident en dehors de la circulation, impliquant des véhicules à moteur, autres et sans précision)
V445	V445 (( CIM10 : V44.5 ))	ICD10FR (code CIM10)-Chap20 (CAUSES EXTERNES DE MORBIDITE ET DE MORTALITE)-V44 (V44)-V445 (( CIM10 : V44.5 ))
Y483	Y483 (( CIM10 : Y48.3 ))	ICD10FR (code CIM10)-Chap20 (CAUSES EXTERNES DE MORBIDITE ET DE MORTALITE)-Y48 (Y48)-Y483 (( CIM10 : Y48.3 ))
X473	X473 (( CIM10 : X47.3 ))	ICD10FR (code CIM10)-Chap20 (CAUSES EXTERNES DE MORBIDITE ET DE MORTALITE)-X47 (X47)-X473 (( CIM10 : X47.3 ))
B00	B00 (INFECT. PAR LE VIRUS DE L'HERPES)	ICD10FR (code CIM10)-Chap1 (MALADIES INFECTIEUSES ET PARASITAIRES)-B00 (INFECT. PAR LE VIRUS DE L'HERPES)
Z431	Z431 (Surveillance de gastrostomie)	ICD10FR (code CIM10)-Chap21 (FACTEURS INFLUANT L'ETAT DE SANTE)-Z43 (SURV. DE STOMIES)-Z431 (Surveillance de gastrostomie)
P912	P912 (Leucomalacie cérébrale néonatale)	ICD10FR (code CIM10)-Chap16 (AFFECTION ORIGINE PERINATALE)-P91 (AFF. CEREB. DU N.N., NCA)-P912 (Leucomalacie cérébrale néonatale)
